省份,执行月份,用电类别,电压等级,平段电价(元),高峰电价(元),低谷电价(元),尖峰电价(元),深谷电价(元),尖峰时段,高峰时段,平时段,低谷时段,深谷时段,特殊规则备注
山西,2025年4月,工商业两部制,1-10(20)千伏,0.51811675,0.72104375,0.31404875,无,无,无,08:00-11:00、17:00-23:00,07:00-08:00、13:00-17:00、23:00-24:00,00:00-07:00、11:00-13:00,无,两部制用户1、7、8、12月执行尖峰电价
山西,2025年5月,工商业两部制,1-10(20)千伏,0.51630475,0.71804475,0.33137575,无,无,无,08:00-11:00、17:00-23:00,07:00-08:00、13:00-17:00、23:00-24:00,00:00-07:00、11:00-13:00,无,两部制用户1、7、8、12月执行尖峰电价
山西,2025年6月,工商业两部制,1-10(20)千伏,0.51970575,0.72154375,0.33450575,无,无,无,08:00-11:00、17:00-23:00,07:00-08:00、13:00-17:00、23:00-24:00,00:00-07:00、11:00-13:00,无,两部制用户1、7、8、12月执行尖峰电价
山西,2025年7月,工商业两部制,1-10(20)千伏,0.52277475,0.72365475,0.32189475,0.82409475,无,18:00-20:00,08:00-11:00、17:00-18:00、20:00-23:00,07:00-08:00、13:00-17:00、23:00-24:00,00:00-07:00、11:00-13:00,无,7月执行尖峰电价
山西,2025年8月,工商业两部制,1-10(20)千伏,0.50900975,0.71147775,0.30654175,0.81246575,无,18:00-20:00,08:00-11:00、17:00-18:00、20:00-23:00,07:00-08:00、13:00-17:00、23:00-24:00,00:00-07:00、11:00-13:00,无,8月执行尖峰电价
山西,2025年12月,两部制,1-10(20)千伏,0.58133375,0.85333375,0.33333375,0.98933375,无,18:00-20:00,08:00-11:00、17:00-18:00、20:00-24:00,07:00-08:00、13:00-17:00,00:00-07:00、11:00-13:00,无,12月执行冬季尖峰电价
山西,2025年09月,两部制,1-10(20)千伏,0.52755575,0.72826575,0.34357175,无,无,无,08:00-11:00、17:00-24:00,07:00-08:00、13:00-17:00,00:00-07:00、11:00-13:00,无,无
山西,2025年10月,两部制,1-10(20)千伏,0.53312125,0.74152375,0.33887125,无,无,无,08:00-11:00、17:00-24:00,07:00-08:00、13:00-17:00,00:00-07:00、11:00-13:00,无,无
山西,2025年11月,两部制,1-10(20)千伏,0.57085375,0.81184375,0.33709375,无,无,无,08:00-11:00、17:00-24:00,07:00-08:00、13:00-17:00,00:00-07:00、11:00-13:00,无,无

河北,2025年1月,工商业用电(两部制),1-10千伏,0.65104175,0.93755175,0.36453175,1.07671375,无,17:00-19:00,07:00-09:00、19:00-23:00,00:00-02:00、06:00-07:00、09:00-11:00、15:00-17:00、23:00-24:00,02:00-06:00、11:00-15:00,无,无
河北,2025年2月,工商业用电(两部制),1-10千伏,0.66926550,0.95731550,0.38121550,1.09722550,无,17:00-19:00,07:00-09:00、19:00-23:00,00:00-02:00、06:00-07:00、09:00-11:00、15:00-17:00、23:00-24:00,02:00-06:00、11:00-15:00,无,无
河北,2025年3月,工商业用电(两部制),1-10千伏,0.64378875,0.93078875,0.35678875,1.07018875,无,无,16:00-24:00,00:00-03:00、07:00-11:00、15:00-16:00,03:00-07:00、11:00-12:00,12:00-15:00,无
河北,2025年4月,工商业用电(两部制),1-10千伏,0.65849475,0.94220475,0.37478475,1.08000675,无,无,16:00-24:00,00:00-03:00、07:00-11:00、15:00-16:00,03:00-07:00、11:00-12:00,12:00-15:00,无
河北,2025年5月,工商业用电(两部制),1-10千伏,0.65104175,0.93755175,0.36453175,1.07671375,无,无,16:00-24:00,00:00-03:00、07:00-11:00、15:00-16:00,03:00-07:00、11:00-12:00,12:00-15:00,无
河北,2025年6月,工商业用电(两部制),1-10千伏,0.66128075,0.94807075,0.37449075,1.08736875,无,19:00-22:00,16:00-19:00、22:00-24:00,00:00-01:00、07:00-12:00、14:00-16:00,01:00-07:00、12:00-14:00,无,无
河北,2025年7月,工商业用电(两部制),1-10千伏,0.63789775,0.92454775,0.35124775,1.06377775,无,19:00-22:00,16:00-19:00、22:00-24:00,00:00-01:00、07:00-12:00、14:00-16:00,01:00-07:00、12:00-14:00,无,无
河北,2025年8月,工商业用电(两部制),1-10千伏,0.65004575,0.93690575,0.36318575,1.07623775,无,19:00-22:00,16:00-19:00、22:00-24:00,00:00-01:00、07:00-12:00、14:00-16:00,01:00-07:00、12:00-14:00,无,无
河北,2025年9月,工商业用电(两部制),1-10千伏,0.65147975,0.93609975,0.36685975,1.07434375,无,无,16:00-24:00,00:00-02:00、06:00-11:00、15:00-16:00,02:00-06:00、11:00-12:00、14:00-15:00,12:00-14:00,无
河北,2025年10月,工商业用电(两部制),1-10千伏,0.64871375,0.93491575,0.36251175,1.07392815,无,无,16:00-24:00,00:00-02:00、06:00-11:00、15:00-16:00,02:00-06:00、11:00-12:00、14:00-15:00,12:00-14:00,无
河北,2025年11月,工商业用电(两部制),1-10千伏,0.64514375,0.94280125,0.34748625,1.08737775,0.32197275,无,16:00-24:00,00:00-02:00、06:00-11:00、15:00-16:00,02:00-06:00、11:00-12:00、14:00-15:00,12:00-14:00,无
河北,2025年12月,工商业用电(两部制),1-10千伏,0.67959275,0.98636775,0.37281775,1.13537275,0.34652275,17:00-19:00,07:00-09:00、19:00-23:00,00:00-02:00、06:00-07:00、09:00-11:00、15:00-17:00、23:00-24:00,02:00-06:00、11:00-15:00,无,无
冀北,2025年1月,工商业用电(两部制),1-10千伏,0.61726875,0.90234475,0.33219275,1.04488275,无,18:00-19:00,10:00-12:00、17:00-18:00、19:00-20:00,07:00-10:00、12:00-17:00、20:00-23:00,23:00-07:00,无,1、7、8、12月执行尖峰时段
冀北,2025年2月,工商业用电(两部制),1-10千伏,0.62056875,0.90729475,0.33384275,无,无,无,10:00-12:00、17:00-20:00,07:00-10:00、12:00-17:00、20:00-23:00,23:00-07:00,无,1、7、8、12月执行尖峰时段
冀北,2025年3月,工商业用电(两部制),1-10千伏,0.61726875,0.90234475,0.33219275,无,无,无,10:00-12:00、17:00-20:00,07:00-10:00、12:00-17:00、20:00-23:00,23:00-07:00,无,1、7、8、12月执行尖峰时段
冀北,2025年4月,工商业用电(两部制),1-10千伏,0.61396875,0.89739475,0.33054275,无,无,无,10:00-12:00、17:00-20:00,07:00-10:00、12:00-17:00、20:00-23:00,23:00-07:00,无,1、7、8、12月执行尖峰时段
冀北,2025年5月,工商业用电(两部制),1-10千伏,0.60136875,0.87849475,0.32424275,无,无,无,10:00-12:00、17:00-20:00,07:00-10:00、12:00-17:00、20:00-23:00,23:00-07:00,无,1、7、8、12月执行尖峰时段
冀北,2025年6月,工商业用电(两部制),1-10千伏,0.60006875,0.87654475,0.32359275,无,无,无,10:00-12:00、17:00-20:00,07:00-10:00、12:00-17:00、20:00-23:00,23:00-07:00,无,1、7、8、12月执行尖峰时段
冀北,2025年7月,工商业用电(两部制),1-10千伏,0.59506875,0.86904475,0.32109275,1.00603275,无,18:00-19:00,10:00-12:00、17:00-18:00、19:00-20:00,07:00-10:00、12:00-17:00、20:00-23:00,23:00-07:00,无,1、7、8、12月执行尖峰时段
